Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1000894;2НДФЛ;Ремонт;0;0.27;мужской;1;0;высшее;менеджер среднего звена;< 50;3;39;45;Торговля;ООО;холост / не замужем;3;1;1;1;1;0;0;4;4;1;1;5;0;8;5;3;0;0;29;0;0;0;0;0;0;0
14;1000914;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.36;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0;130;47;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000934;Форма банка (без печати работодателя);Покупка автомобиля;0;0.26;мужской;1;0;высшее;специалист;>250;0;22;27;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1000954;Поступление зарплаты на счет;Обучение;1;0.41;мужской;1;0;среднее;вспомогательный персонал;>250;0;161;40;Другое;Иная форма;женат / замужем;0;0;0;0;0;0.2727272727;0;0;0;0;0.1666666667;1;5;64;6;1;1;9;106;1;1;1;1;0;0;0
14;1000974;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.54;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;260;43;Торговля;ООО;женат / замужем;3;2;1;1;1;0.0657894737;1;0;0;0;0.5;4;4;142;8;1;1;17;109;1;0;0;0;0;0;0
14;1000994;2НДФЛ;Ремонт;0;0.22;мужской;0;0;среднее-специальное;специалист;>250;0;51;43;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001014;2НДФЛ;Ремонт;0;0.2;мужской;0;0;высшее;специалист;< 50;1;6;29;Информационные технологии;Иная форма;холост / не замужем;1;1;1;0;0;0;0;0;0;0;1;3;0;27;3;0;0;16;91;0;0;0;0;0;0;0
14;1001034;Поступление зарплаты на счет;Ремонт;0;0.47;мужской;2;0;высшее;торговый представитель;>250;0;6;35;Другое;ООО;женат / замужем;1;1;0;0;0;0;1;0;0;0;0.6666666667;2;1;37;3;2;1;11;25;0;0;0;0;0;0;0
14;1001054;;Покупка недвижимости/ строительство;0;;женский;0;0;Высшее/Второе высшее/Ученая степень;другое;;0;23;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001074;2НДФЛ;Ремонт;0;0.4;мужской;0;0;высшее;специалист;< 50;1;63;26;Другое;ООО;холост / не замужем;3;3;3;3;3;0.0222222222;1;0;0;0;0.5;1;1;44;2;1;1;7;35;1;0;0;0;0;0;0
