Номер варианта,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage,cluster
14,1000574,4,9,1.0,0.18,0,0,0,4,7,3,0.0,32.0,28.0,8,6,3,0.0,0.0,0.0,0.0,0.0,0.1904761905,0.0,0.0,0.0,0.0,1.0,2.0,0.0,17.0,2.0,1.0,0.0,18.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000594,2,4,1.0,0.4,0,0,0,4,5,3,1.0,16.0,28.0,2,6,6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,80.0,3.0,0.0,1.0,18.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000614,2,7,0.0,0.34,0,0,0,4,7,3,1.0,13.0,31.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000634,2,0,0.0,0.33,1,0,0,6,7,3,0.0,12.0,29.0,2,6,6,2.0,2.0,2.0,2.0,0.0,0.1333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,10.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000654,2,8,1.0,0.45,1,0,0,5,1,3,0.0,11.0,27.0,9,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000674,1,8,0.0,0.4,0,1,0,3,2,8,1.0,81.0,51.0,11,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000694,2,3,1.0,0.39,0,0,0,4,7,3,0.0,52.0,32.0,8,6,6,0.0,0.0,0.0,0.0,0.0,0.0404040404,1.0,0.0,0.0,0.0,0.6,3.0,2.0,95.0,5.0,2.0,2.0,11.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000714,0,8,1.0,0.43,0,2,0,7,6,3,0.0,7.0,38.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000734,2,9,1.0,0.59,1,1,0,4,5,3,1.0,110.0,28.0,5,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000754,4,9,1.0,0.07,1,1,0,4,5,3,0.0,24.0,38.0,3,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14,1000774,0,9,0.0,0.23,0,1,0,4,7,1,0.0,94.0,44.0,4,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000794,2,8,1.0,0.43,0,0,0,7,1,3,0.0,32.0,42.0,8,6,6,1.0,1.0,1.0,1.0,1.0,0.4210526316,1.0,0.0,0.0,0.0,0.25,1.0,3.0,22.0,4.0,0.0,0.0,30.0,114.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2
14,1000814,4,3,1.0,0.59,0,0,0,7,1,3,0.0,6.0,42.0,10,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000834,2,8,1.0,0.17,1,0,0,4,5,2,0.0,43.0,34.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0147058824,0.0,0.0,0.0,0.0,0.4,2.0,3.0,62.0,5.0,1.0,0.0,9.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,1000854,0,9,0.0,0.57,0,1,0,4,4,1,1.0,56.0,29.0,8,6,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,113.0,5.0,2.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000874,2,9,1.0,0.39,1,0,0,4,7,3,0.0,15.0,40.0,8,6,6,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.6363636364,7.0,4.0,133.0,11.0,4.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,1000894,0,9,0.0,0.27,1,1,0,4,5,1,3.0,39.0,45.0,8,6,6,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,0.0,8.0,5.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
